Date,Name,Rank,Points,Flag,Conference,CountryUrl,PageUrl
2003-07-16,USA,1.0,2170.0,https://api.fifa.com/api/v3/picture/flags-sq-2/USA,CONCACAF,https://www.fifa.com/fifa-world-ranking/USA,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,Norway,2.0,2160.0,https://api.fifa.com/api/v3/picture/flags-sq-2/NOR,UEFA,https://www.fifa.com/fifa-world-ranking/NOR,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,Germany,3.0,2153.0,https://api.fifa.com/api/v3/picture/flags-sq-2/GER,UEFA,https://www.fifa.com/fifa-world-ranking/GER,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,China PR,4.0,2110.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CHN,AFC,https://www.fifa.com/fifa-world-ranking/CHN,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,Sweden,5.0,2074.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SWE,UEFA,https://www.fifa.com/fifa-world-ranking/SWE,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,Brazil,6.0,2037.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BRA,CONMEBOL,https://www.fifa.com/fifa-world-ranking/BRA,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,Korea DPR,7.0,2004.0,https://api.fifa.com/api/v3/picture/flags-sq-2/PRK,AFC,https://www.fifa.com/fifa-world-ranking/PRK,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,Denmark,8.0,1967.0,https://api.fifa.com/api/v3/picture/flags-sq-2/DEN,UEFA,https://www.fifa.com/fifa-world-ranking/DEN,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,France,9.0,1964.0,https://api.fifa.com/api/v3/picture/flags-sq-2/FRA,UEFA,https://www.fifa.com/fifa-world-ranking/FRA,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,Italy,10.0,1943.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ITA,UEFA,https://www.fifa.com/fifa-world-ranking/ITA,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,Russia,11.0,1899.0,https://api.fifa.com/api/v3/picture/flags-sq-2/RUS,UEFA,https://www.fifa.com/fifa-world-ranking/RUS,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,Canada,12.0,1867.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CAN,CONCACAF,https://www.fifa.com/fifa-world-ranking/CAN,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,England,13.0,1860.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ENG,UEFA,https://www.fifa.com/fifa-world-ranking/ENG,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,Japan,14.0,1850.0,https://api.fifa.com/api/v3/picture/flags-sq-2/JPN,AFC,https://www.fifa.com/fifa-world-ranking/JPN,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,Australia,15.0,1840.0,https://api.fifa.com/api/v3/picture/flags-sq-2/AUS,OFC,https://www.fifa.com/fifa-world-ranking/AUS,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,Netherlands,16.0,1814.0,https://api.fifa.com/api/v3/picture/flags-sq-2/NED,UEFA,https://www.fifa.com/fifa-world-ranking/NED,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
2003-07-16,Iceland,17.0,1782.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ISL,UEFA,https://www.fifa.com/fifa-world-ranking/ISL,https://www.fifa.com/api/ranking-overview?locale=en&dateId=ranking_20030716
